contract_name,contract_address,token_type,symbol,decimals
UniswapV2Pair,0xe81E989Deea15646c9305053B6aDBE13b1446D71,ERC-20,ULP,18
UniswapV2Pair,0xF97E6168283e38FC42725082FC63b47B6cD16B18,ERC-20,ULP,18
UniswapV2Pair,0xE081E2FD9B2e1ae939239b601946564aDC9E7541,ERC-20,ULP,18
UniswapV2Pair,0xaE9A62F50171B3E1C4b3345D3638764Ecf1A78a6,ERC-20,ULP,18
UniswapV2Pair,0xF94fEA0C87D2b357DC72b743b45A8cB682b0716E,ERC-20,ULP,18
UniswapV2Pair,0x39AC98447f28612D3583e46E57cb106337FCAe3F,ERC-20,ULP,18
UniswapV2Pair,0xf69E376126F5EAD7aBFA5A4A0351C18fEfff8b94,ERC-20,ULP,18
UniswapV2Pair,0xC0864bec4E878371D2BfB1E92928e30A2FE91cF1,ERC-20,ULP,18
UniswapV2Pair,0x999F2de619464FCE1A1085f902836aA52c09dBd7,ERC-20,ULP,18
UniswapV2Pair,0x2004d4b6edeA896433B9614031caeC7412440862,ERC-20,ULP,18
UniswapV2Pair,0x9272388FDf2D6bFbA8b1Cdd99732A3D552a71346,ERC-20,ULP,18
UniswapV2Pair,0x19a75250c5A3ab22a8662e55a2B90FF9d3334B00,ERC-20,ULP,18
UniswapV2Pair,0x01522C42cA43D7BfD34f373d41AD7d90a95E714C,ERC-20,ULP,18
UniswapV2Pair,0x573bcEBD09Ff805eD32df2cb1A968418DC74DCf7,ERC-20,ULP,18
UniswapV2Pair,0xa813Bb1DF70128d629F1A41830578fA616dAEeEc,ERC-20,ULP,18
